Ativo_ID,Data,Valor
27,2025-11-10,7498.14
27,2025-11-21,7525.61
27,2025-11-28,7541.18
27,2025-12-12,7572.42
27,2025-12-19,7590.06
27,2026-01-01,7618.37
27,2026-01-24,7675.08
27,2026-01-30,7694.82
27,2026-02-16,7734.78
27,2026-02-27,7769.11
27,2026-03-09,7794.96
27,2026-03-20,7841.7
27,2026-03-31,7881.29
27,2026-04-17,7950.41
27,2026-05-01,8003.49
27,2026-05-13,8055.66
27,2026-05-30,8121.09
27,2026-06-09,8154.01
27,2026-06-16,8181.31
28,2025-04-15,10025.48
28,2025-04-19,10038.82
28,2025-04-28,10070.96
28,2025-05-01,10083.65
28,2025-05-10,10120.62
28,2025-05-19,10157.7
28,2025-05-27,10190.59
28,2025-06-01,10205.83
28,2025-06-07,10232.67
28,2025-06-13,10252.52
28,2025-06-20,10271.38
28,2025-06-27,10295.34
28,2025-07-01,10304.93
28,2025-07-12,10347.29
28,2025-07-17,10367.62
28,2025-07-28,10403.95
28,2025-08-01,10425.92
28,2025-08-12,10457.21
28,2025-08-22,10494.94
28,2025-08-29,10511.31
28,2025-09-09,10354.47
28,2025-09-19,10563.11
28,2025-10-01,10617.36
28,2025-10-25,10716.8
28,2025-10-31,10739.18
28,2025-11-10,10767.52
28,2025-11-21,10799.38
28,2025-11-28,10824.42
28,2025-12-12,10873.34
28,2025-12-19,10898.2
28,2026-01-01,10946.22
28,2026-01-24,11035.41
28,2026-01-30,11063.95
28,2026-02-16,11122.5
28,2026-02-27,11174.11
28,2026-03-09,11226.82
28,2026-03-20,11301.57
28,2026-03-31,11361.37
28,2026-04-17,11479.95
28,2026-05-01,11542.44
28,2026-05-13,11609.34
28,2026-05-30,11698.75
28,2026-06-09,11740.78
28,2026-06-16,11784.01
29,2025-05-19,5006.41
29,2025-05-27,5023.96
29,2025-06-01,5031.98
29,2025-06-07,5045.48
29,2025-06-13,5055.94
29,2025-06-20,5065.92
29,2025-06-27,5078.69
29,2025-07-01,5083.37
29,2025-07-12,5103.54
29,2025-07-17,5113.42
29,2025-07-28,5131.08
29,2025-08-01,5142.29
29,2025-08-12,5159.03
29,2025-08-22,5179.64
29,2025-08-29,5188.81
29,2025-09-09,5200.38
29,2025-09-19,5214.49
29,2025-10-01,5234.5
29,2025-10-25,5287.8
29,2025-10-31,5299.3
29,2025-11-10,5313.61
29,2025-11-21,5329.88
29,2025-11-28,5341.88
29,2025-12-12,5366.37
29,2025-12-19,5378.73
29,2026-01-01,5400.12
29,2026-01-24,5444.58
29,2026-01-30,5458.38
29,2026-02-16,5487.9
29,2026-02-27,5512.28
29,2026-03-09,5536.32
29,2026-03-20,5573.81
29,2026-03-31,5602.21
29,2026-04-17,5659.02
29,2026-05-01,5691.96
29,2026-05-13,5725.12
29,2026-05-30,5772.34
29,2026-06-09,5993.2
